pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170710_13_14_01,invisible,0.1,P2,20.0,60.0,40.0,47,53,1,19.0,0.38,0.3338899999999999,0.0556228126736591,0.8289764178328942,0.2567743225677432,0.8415158484151585,,
20170710_13_14_01,invisible,0.1,P3,60.0,180.0,118.1,139,170,1,52.0,0.3365695792880259,0.3326582524271845,0.0320651559284866,0.1219805969309685,0.4936506349365063,0.5886411358864113,,
20170710_13_14_02,invisible,0.1,P1,0.0,20.0,14.8,22,29,1,10.0,0.392156862745098,0.4120470588235294,0.0800304117172748,-0.2485329720493995,0.6872312768723128,0.5016498350164984,,
20170710_13_14_02,invisible,0.1,P2,20.0,60.0,40.0,55,63,1,32.0,0.5423728813559322,0.3797440677966102,0.0515206286183064,3.1565766552300265,0.0016998300169983,0.9993000699930008,,
20170710_13_14_02,invisible,0.1,P3,60.0,180.0,119.7,163,196,1,85.0,0.4735376044568245,0.3785710306406685,0.0293262295518042,3.2382810633190835,0.0008999100089991,0.9998000199980002,,
20170710_13_14_03,invisible,0.1,P1,0.0,20.0,16.2,28,28,1,12.0,0.4285714285714285,0.4445964285714286,0.0779639245990381,-0.205543783004964,0.6722327767223277,0.5063493650634937,,
20170710_13_14_03,invisible,0.1,P2,20.0,60.0,40.0,57,77,1,32.0,0.4776119402985074,0.4128567164179105,0.0494186437389178,1.310339964461657,0.1217878212178782,0.9275072492750724,,
20170710_13_14_03,invisible,0.1,P3,60.0,180.0,119.5,162,215,1,73.0,0.3872679045092838,0.3879389920424403,0.0285186167675213,-0.0235315597045629,0.5502449755024498,0.5224477552244775,,
20170710_15_16_01,invisible,0.1,P1,0.0,20.0,12.9,15,18,1,6.0,0.3636363636363636,0.3511939393939394,0.1023693095243567,0.121544477541521,0.565043495650435,0.660933906609339,,
20170710_15_16_01,invisible,0.1,P2,20.0,60.0,40.0,39,45,1,12.0,0.2857142857142857,0.3124857142857142,0.0622800386088439,-0.4298556836094658,0.732026797320268,0.4110588941105889,,
20170710_15_16_01,invisible,0.1,P3,60.0,180.0,118.4,103,121,1,24.0,0.2142857142857142,0.2682580357142857,0.0367065007547337,-1.470375010388619,0.945905409459054,0.0891910808919108,,
20170710_15_16_02,invisible,0.1,P1,0.0,20.0,14.7,16,18,1,7.0,0.4117647058823529,0.2753588235294117,0.0942473278640523,1.4473183000975978,0.1268873112688731,0.9597040295970404,,
20170710_15_16_02,invisible,0.1,P2,20.0,60.0,40.0,44,49,1,16.0,0.3440860215053763,0.3189591397849463,0.0608174218035395,0.4131526949892458,0.4035596440355964,0.7197280271972802,,
20170710_15_16_02,invisible,0.1,P3,60.0,180.0,119.0,109,129,1,31.0,0.2605042016806723,0.2806025210084033,0.0359332875853992,-0.559323142363895,0.7498250174982501,0.3318668133186681,,
20170710_15_16_03,invisible,0.1,P1,0.0,20.0,13.2,12,12,1,4.0,0.3333333333333333,0.2219416666666667,0.1058987527291183,1.051869486618022,0.247975202479752,0.9245075492450756,,
20170710_15_16_03,invisible,0.1,P2,20.0,60.0,40.0,38,44,1,14.0,0.3414634146341463,0.2574951219512195,0.0603919864744269,1.3903879899443834,0.1213878612138786,0.9423057694230575,,
20170710_15_16_03,invisible,0.1,P3,60.0,180.0,118.7,103,126,1,31.0,0.2707423580786026,0.2645668122270742,0.0362943169272076,0.1701518687874513,0.4742525747425257,0.6199380061993801,,
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,6.0,0.2926829268292683,0.3498780487804878,0.0912846244645732,-0.6265581119131012,0.8149185081491851,0.3642635736426357,,
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,22.0,0.4356435643564356,0.3307782178217822,0.05538201351156,1.8934910431301772,0.0418958104189581,0.9816018398160185,,
20170706_01_02_01,visible,0.1,P3,60.0,180.0,119.7,165,126,1,45.0,0.3092783505154639,0.337672852233677,0.0332765863286303,-0.8532876971753289,0.8298170182981702,0.2281771822817718,,
20170706_01_02_02,visible,0.1,P1,0.0,20.0,15.0,24,21,1,11.0,0.4888888888888889,0.4011866666666667,0.088055870568968,0.99598381863173,0.2230776922307769,0.8911108889111089,,
20170706_01_02_02,visible,0.1,P2,20.0,60.0,40.0,57,40,1,23.0,0.4742268041237113,0.3147546391752577,0.0568878567165788,2.803272511090729,0.0043995600439956,0.9985001499850016,,
20170706_01_02_02,visible,0.1,P3,60.0,180.0,119.6,164,131,1,51.0,0.3457627118644067,0.3217661016949152,0.0324670973329924,0.7391054988185423,0.2612738726127387,0.7975202479752025,,
20170706_01_02_03,visible,0.1,P1,0.0,20.0,15.0,22,18,1,3.0,0.15,0.373515,0.0907585725254021,-2.462742568339106,0.9983001699830018,0.0136986301369863,,
20170706_01_02_03,visible,0.1,P2,20.0,60.0,40.0,60,42,1,22.0,0.4313725490196078,0.3337039215686274,0.055619773274105,1.756005494118979,0.0551944805519448,0.9738026197380262,,
20170706_01_02_03,visible,0.1,P3,60.0,180.0,119.5,151,107,1,39.0,0.3023255813953488,0.2928589147286822,0.0345265559569421,0.2741850846192842,0.4372562743725627,0.6512348765123488,,
20170706_03_04_01,visible,0.1,P1,0.0,20.0,14.1,19,18,1,6.0,0.3243243243243243,0.3576432432432433,0.0954473200368485,-0.349081764747882,0.7402259774022598,0.4752524747525247,,
20170706_03_04_01,visible,0.1,P2,20.0,60.0,40.0,51,52,1,19.0,0.3689320388349514,0.3687203883495145,0.0569407042310374,0.0037170331539666,0.5648435156484352,0.567943205679432,,
20170706_03_04_01,visible,0.1,P3,60.0,180.0,119.7,154,157,1,70.0,0.45016077170418,0.3457909967845659,0.0323169874233414,3.2295638684511596,0.0007999200079992,0.9996000399960004,,
20170706_03_04_02,visible,0.1,P1,0.0,20.0,14.9,21,21,1,8.0,0.3809523809523809,0.3768380952380952,0.0905300149378185,0.0454466479113211,0.5822417758224178,0.6244375562443756,,
20170706_03_04_02,visible,0.1,P2,20.0,60.0,40.0,55,53,1,22.0,0.4074074074074074,0.3553444444444444,0.0547588065038493,0.9507687673817942,0.2120787921207879,0.8676132386761324,,
