t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,
103.5,0.729371598,1.689628075,0.710094525,0.26367446,-0.043228462,-0.783650343,1.275356527,1.23277517,0.119930205,-0.754650958,0.430951746,-0.926453619,0.207571334,1.110375987,1.351542178,1.031779337,,-1.48018243,0.560337461,-1.406001133,1.072980472,-1.711628937,-0.606336969,1.099850344,-0.397283477,-1.639802631,-0.106684975,-0.125072092,-2.65921784,0.852027837,,,,,,,,,,,
104.5,1.942598974,1.56863914,0.893976895,-0.732479055,0.685166528,-1.010449015,0.717959779,1.181744823,-0.12379748,-1.83557748,0.019160617,-0.251683411,0.080654324,0.468239349,1.508524291,1.870739104,,-1.598383901,0.507408588,-2.179280053,1.009903312,-1.196210318,0.567655464,1.039704528,0.098208124,0.530682423,0.41332652,0.956212285,-1.372127735,0.81229838,,,,,,,,,,,
105.5,0.611082437,0.833587861,1.140466777,0.60398885,1.374474275,-0.22223012,0.707445452,0.234439784,-0.04263407,-0.84796509,0.135966983,0.296444391,-0.184708696,0.854825761,1.418577824,1.735644047,,-0.911142304,0.336273169,-4.134141431,0.523783919,-1.541486447,0.180062203,0.455104618,-0.313328712,-0.62879729,-1.669833595,0.402124475,-1.01622393,0.869926744,,,,,,,,,,,
106.5,0.674970319,0.890198255,0.764292581,0.986676735,0.819525281,-0.375959792,2.183047462,0.081448397,0.706293454,-2.446174229,0.652048666,0.415209105,-0.138212964,0.498663871,1.877473207,1.984124867,,-1.290588487,-0.338250317,-2.081399591,0.051937748,-1.450434082,0.196214955,0.033372717,-0.248534293,-0.369848596,-0.260770166,0.356504642,-0.408077039,-0.309414536,,,,,,,,,,,
107.5,1.18648694,1.044314065,0.168307518,1.30112512,1.322951881,-0.102898555,2.066653518,-0.064882735,0.873551921,-2.559277458,-4.29E-05,1.009106218,-0.785779132,0.15269333,2.315537729,1.586023181,,-1.03777532,-0.446740728,-0.946585969,0.714665139,-0.288423535,0.886605957,-0.239163151,0.390093691,0.350227703,0.243317402,0.840602477,0.184644284,-0.576218313,,,,,,,,,,,
108.5,1.283381368,0.795094536,0.34736992,0.187396718,1.348793934,1.007026976,1.450198196,-1.712590672,0.293739156,-2.314680532,-1.139412664,0.98541976,-1.868831742,1.568740574,1.398207226,1.735717606,,-0.404394254,-0.580894742,-0.966869244,0.858350636,0.247224591,0.132154209,-1.146765538,-0.770554594,-0.351007701,0.519426913,,1.062571209,-1.589412437,,,,,,,,,,,
109.5,0.921734413,1.033699113,-0.555235887,0.977772385,0.294628478,-0.039321773,1.97903157,-0.476385406,0.293257907,-1.74930723,-1.045575513,-0.278746701,-1.053264943,1.403543122,0.749366476,1.896047427,,0.673598696,-0.715598136,0.013290504,0.76934396,-0.046126313,-1.1218803,0.498859665,-1.369246094,-0.19666754,0.084193097,,1.152294545,-1.267615511,,,,,,,,,,,
110.5,2.074574166,1.240102466,-0.460491868,0.474398677,1.541684803,-0.691593777,1.844830981,-0.225020991,0.29978131,-1.660500567,-0.640136702,0.054318094,0.164848744,0.497404744,-0.30194061,2.094519834,,0.649278433,-1.267102264,0.177872231,0.597283889,0.538901828,-0.39258625,0.796365169,-0.248321314,0.951188156,0.475177095,,0.774130532,-2.623069537,,,,,,,,,,,
111.5,1.060608021,0.455961343,-0.674839468,0.845096811,0.357101288,-0.609882975,1.974150759,0.745954908,-0.017985993,-0.350290851,-0.752674523,-0.222264544,-0.041661312,0.934890598,0.221259559,1.634166291,,0.923817934,-1.101243534,-0.310816767,0.868974903,0.569399794,-0.043486104,1.285111369,0.179452981,0.822721797,-0.398532428,,1.003694247,-2.880340525,,,,,,,,,,,
112.5,1.327608026,0.352684472,0.785176575,0.489573333,0.677267508,-1.699000702,2.052627203,0.205593623,-0.095363484,-0.138739181,0.087530001,0.026910627,0.06574555,0.898764087,-0.006439205,1.224637858,,0.79054586,-1.167134002,-0.52533215,0.249376717,0.154203531,-0.203195952,1.676463576,-0.610303161,1.263991163,-0.136186252,,0.450092067,-1.71264346,,,,,,,,,,,
113.5,0.786337422,0.423412771,1.574549767,1.590282944,-1.174740364,-0.987701896,1.44455571,1.17743538,0.733706595,0.776261211,0.36800103,0.164512114,0.528469845,1.207139474,0.025077848,1.022923376,,0.593494057,-0.775665705,0.138931227,0.613256937,0.377467484,0.713549242,1.483635469,-0.398386937,0.829455799,-0.895633428,,-0.589030187,0.420842732,,,,,,,,,,,
114.5,-0.420179947,-0.535836836,1.144108929,0.493025004,-0.093151288,-0.15588638,1.470289999,1.02100888,0.605088158,0.613900422,-1.387957422,0.863091688,0.503571833,1.454185703,0.113596059,0.946455541,,0.36108574,-1.169610849,-0.178366398,-0.074643413,0.673749029,0.100782675,1.457802143,1.410441474,0.564023896,-1.169766337,1.989401657,-0.710786555,0.11753871,,,,,,,,,,,
115.5,-1.025866998,-1.296186353,1.213375846,-0.783201705,-1.650176445,-0.951861607,1.554205279,1.355097178,-0.128995466,0.359750448,-0.321045556,1.145539477,0.796238279,1.525773395,0.033157168,,,-0.404384823,-0.743610304,-0.330771041,0.143082901,0.882218214,-0.442510396,1.191633756,1.466664966,0.760476575,-0.363056332,0.826369007,-0.175048194,0.588876687,,,,,,,,,,,
