pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170710_07_08_01,visible,0.1,P1,0.0,20.0,0.6000000000000014,2,0,0,,,,,,,,,,,,,,,,,,,,,
20170710_07_08_01,visible,0.1,P2,20.0,60.0,40.0,39,42,1,12.0,0.2962962962962963,0.3032493827160494,0.06426102642404856,0.16628868493874557,-0.10820067475845746,0.6299370062993701,0.539046095390461,0.30307901234567897,0.06471362741136712,0.27951526749526334,-0.10481124796585402,0.6235376462353764,0.5497450254974503,0.010699999999999932,0.30397037037037034,0.06477466866805175,0.27296740761041016,-0.1184733821395689,0.6288371162883711,0.5429457054294571
20170710_07_08_01,visible,0.1,P3,60.0,180.0,110.69999999999999,77,79,1,18.0,0.23076923076923078,0.21106282051282052,0.04490777047779053,0.12396398613348683,0.43881960842737033,0.38816118388161186,0.7171282871712829,0.2104128205128205,0.044645406621623446,0.09823091967712702,0.4559575507718839,0.38376162383761625,0.7247275272472753,0.007600000000000051,0.21110384615384614,0.044798973542230794,0.12696465004603205,0.43896953569363834,0.3862613738626137,0.718028197180282
20170710_07_08_02,visible,0.1,P1,0.0,20.0,13.7,21,16,1,7.0,0.3783783783783784,0.37355675675675676,0.08925822114072848,0.40622515753896643,0.05401879580391433,0.5709429057094291,0.6585341465853415,0.39003783783783785,0.08979563641028016,0.2547396210299909,-0.12984438805229775,0.637036296370363,0.5889411058894111,0.0696,0.3720594594594595,0.08882159136489991,0.4076965296574198,0.07114169901504346,0.5646435356464353,0.6639336066393361
20170710_07_08_02,visible,0.1,P2,20.0,60.0,40.0,29,38,1,8.0,0.23880597014925373,0.24401492537313435,0.07394592857734082,0.058491246937506826,-0.07044275897397817,0.5894410558944105,0.5358464153584641,0.24805074626865672,0.07432179921058171,0.044542831086665624,-0.12438848652209102,0.6181381861813818,0.5218478152184781,0.028700000000000003,0.2445641791044776,0.07455108583114618,0.06743497972703422,-0.07723843175491624,0.5931406859314069,0.5356464353564644
20170710_07_08_02,visible,0.1,P3,60.0,180.0,36.0,41,34,1,13.0,0.3466666666666667,0.30640266666666666,0.06885976105746745,0.29511440535324185,0.5847246545975869,0.32196780321967805,0.7827217278272173,0.30969066666666667,0.06986782137819458,0.28134127101054796,0.5292278944816224,0.33096690330966905,0.758024197580242,0.024699999999999944,0.306824,0.06844572346948845,0.2994810212936147,0.5821060052704046,0.32536746325367466,0.7809219078092191
20170710_07_08_03,visible,0.1,P1,0.0,20.0,10.0,15,14,1,5.0,0.3448275862068966,0.43466206896551723,0.1173249732869802,0.23597333384974706,-0.7656893519070571,0.8467153284671532,0.2943705629437056,0.41475172413793104,0.1152691344569463,0.25117076530468524,-0.6066163180669284,0.8129187081291871,0.36876312368763126,0.08050000000000002,0.4350827586206897,0.1161426798683439,0.24961468056464206,-0.7771059916656293,0.8514148585141486,0.28947105289471053
20170710_07_08_03,visible,0.1,P2,20.0,60.0,40.0,49,44,1,18.0,0.3870967741935484,0.34492258064516135,0.06501065181295375,-0.07053228200172593,0.6487274373087208,0.3301669833016698,0.7678232176782321,0.34783440860215054,0.06543660696830066,-0.06492229149396506,0.600006134340334,0.3491650834916508,0.7574242575742426,0.02410000000000001,0.3446000000000001,0.06588394957623231,-0.08511288346727859,0.645024690639965,0.33296670332966705,0.7666233376662334
20170710_07_08_03,visible,0.1,P3,60.0,180.0,76.69999999999999,73,76,1,22.0,0.2953020134228188,0.28781476510067117,0.051332975762594095,0.07246937003996512,0.1458565027824383,0.49225077492250774,0.629037096290371,0.2874,0.05134644122216237,0.07492409241036375,0.15389602930082172,0.4891510848915108,0.626937306269373,0.01050000000000001,0.28768993288590605,0.05106239409322538,0.06454860841706381,0.1490741018334406,0.49035096490350966,0.6228377162283771
20170714_01_02_01,visible,0.1,P1,0.0,20.0,15.0,26,21,1,12.0,0.5106382978723404,0.43143404255319145,0.10384249848754143,-0.04194865623941653,0.7627344918771529,0.30746925307469253,0.83991600839916,0.4464,0.10204325313664107,-0.022719461477025207,0.6295202857392447,0.37176282371762825,0.778022197780222,0.06430000000000002,0.4311787234042553,0.10231780930166054,-0.04409591841540026,0.7765957364647714,0.30296970302969706,0.8443155684431557
20170714_01_02_01,visible,0.1,P2,20.0,60.0,40.0,60,63,1,27.0,0.43902439024390244,0.46011382113821137,0.07190292152276853,0.1555044609188179,-0.293304228085236,0.6443355664433557,0.45865413458654136,0.453479674796748,0.07251607396995176,0.16382454912111974,-0.19933903976703632,0.6000399960003999,0.49055094490550943,0.044300000000000006,0.4588747967479675,0.07334303454334565,0.1629898677932354,-0.2706515571336701,0.6371362863713629,0.45915408459154083
20170714_01_02_01,visible,0.1,P3,60.0,180.0,119.1,165,177,1,74.0,0.4327485380116959,0.4290456140350877,0.03752161558773552,-0.1060752058823,0.09868775420796544,0.5141485851414859,0.5436456354364564,0.42953976608187133,0.03678338617260701,-0.05993599633148035,0.08723427241764264,0.5150484951504849,0.5415458454154585,0.011699999999999995,0.42900701754385956,0.037066463175781585,-0.059053932679956816,0.10094085454263009,0.5101489851014899,0.5462453754624538
20170714_01_02_02,visible,0.1,P1,0.0,20.0,13.9,23,24,1,8.0,0.3404255319148936,0.4930553191489362,0.10606323872475247,-0.15520933442174872,-1.439045130708635,0.9419058094190581,0.12488751124887511,0.5015744680851064,0.1028363269180749,-0.20253045302009084,-1.5670429020534054,0.9577042295770423,0.09099090090990901,0.07860000000000006,0.49325531914893617,0.10675897109777366,-0.1445215134009371,-1.4315404659911495,0.9421057894210579,0.1257874212578742
20170714_01_02_02,visible,0.1,P2,20.0,60.0,40.0,65,59,1,32.0,0.5161290322580645,0.4631322580645161,0.07041726468763547,-0.038709658489395976,0.7526105200001343,0.2756724327567243,0.803919608039196,0.46455,0.07052915747257461,-0.0678182361010135,0.7313150207149587,0.2822717728227177,0.8017198280171983,0.01200000000000001,0.46340483870967747,0.0692554360681299,-0.05086038472104281,0.7613004341856965,0.27207279272072793,0.8065193480651934
20170714_01_02_02,visible,0.1,P3,60.0,180.0,118.69999999999999,157,198,1,83.0,0.4676056338028169,0.4420247887323943,0.0343175190257059,0.03541894852858503,0.7454165043592158,0.24907509249075094,0.7847215278472153,0.44117408450704226,0.03428121196292054,0.07474220953011747,0.771021436592256,0.24637536246375363,0.7893210678932107,0.024499999999999966,0.44258535211267597,0.034690376934335715,0.04971505669233543,0.721245598959648,0.25537446255374463,0.7758224177582241
