delta,condition,dyad_id,session,pair_id,z_S,p_S,p_holm_within_dyad,p_bh_within_family
0.3,visible,20170710_01_02,1,20170710_01_02_01,-0.6004078512710846,0.7668233176682332,0.784921507849215,0.9502049795020496
0.3,visible,20170710_01_02,2,20170710_01_02_02,1.7496360451713155,0.0671932806719328,0.20157984201579837,0.8751624837516248
0.3,visible,20170710_01_02,3,20170710_01_02_03,0.4103474428820889,0.3924607539246075,0.784921507849215,0.9056786629029403
0.3,visible,20170710_07_08,1,20170710_07_08_01,0.0850281070441669,0.5195480451954805,0.9113088691130886,0.9114802805433742
0.3,visible,20170710_07_08,2,20170710_07_08_02,0.3240887282423031,0.4556544345565443,0.9113088691130886,0.9114802805433742
0.3,visible,20170710_07_08,3,20170710_07_08_03,0.7427123587311172,0.2605739426057394,0.7817218278172182,0.9056786629029403
0.3,visible,20170714_01_02,1,20170714_01_02_01,0.7927224542972736,0.2400759924007599,0.7202279772022797,0.9056786629029403
0.3,visible,20170714_01_02,2,20170714_01_02_02,-0.4384022253790943,0.7138286171382862,1.0,0.931080804962982
0.3,visible,20170714_01_02,3,20170714_01_02_03,-0.2366153352826488,0.6380361963803619,1.0,0.9114802805433742
0.3,visible,20170714_03_04,1,20170714_03_04_01,-0.2378323672692615,0.6366363363663634,0.6366363363663634,0.9114802805433742
0.3,visible,20170714_03_04,2,20170714_03_04_02,0.666997250182703,0.2991700829917008,0.5983401659834016,0.9056786629029403
0.3,visible,20170714_03_04,3,20170714_03_04_03,1.4335320804164875,0.0973902609739026,0.29217078292170784,0.8751624837516248
0.3,visible,20170714_05_06,1,20170714_05_06_01,-1.107478333800283,0.8972102789721028,1.0,0.9502049795020496
0.3,visible,20170714_05_06,2,20170714_05_06_02,-0.1360249403394111,0.6267373262673732,1.0,0.9114802805433742
0.3,visible,20170714_05_06,3,20170714_05_06_03,-0.6831244062814278,0.7978202179782021,1.0,0.9502049795020496
0.3,visible,20170714_07_08,1,20170714_07_08_01,-1.260873356039066,0.9156084391560844,1.0,0.9502049795020496
0.3,visible,20170714_07_08,2,20170714_07_08_02,-1.5451640479235906,0.9433056694330568,1.0,0.9502049795020496
0.3,visible,20170714_07_08,3,20170714_07_08_03,-1.451156788772734,0.9502049795020496,1.0,0.9502049795020496
0.5,invisible,20170705_01_02,1,20170705_01_02_01,0.2857251771596109,0.445955404459554,1.0,0.8998028768551717
0.5,invisible,20170705_01_02,2,20170705_01_02_02,0.2321279924049863,0.461953804619538,1.0,0.8998028768551717
0.5,invisible,20170705_01_02,3,20170705_01_02_03,-1.10006569111709,0.8971102889711029,1.0,0.9280451265218306
0.5,invisible,20170705_03_04,1,20170705_03_04_01,0.5373034329149878,0.3485651434856514,0.6971302869713027,0.8043811003515031
0.5,invisible,20170705_03_04,2,20170705_03_04_02,-0.9196169109653002,0.8398160183981602,0.8398160183981602,0.8998028768551717
0.5,invisible,20170705_03_04,3,20170705_03_04_03,0.8869267689922158,0.2270772922707729,0.6812318768123187,0.8043811003515031
0.5,invisible,20170707_01_02,1,20170707_01_02_01,1.522765295453808,0.0982901709829017,0.2948705129487051,0.7371762823717628
0.5,invisible,20170707_01_02,2,20170707_01_02_02,0.4793478405323459,0.3241675832416758,0.5693430656934306,0.8043811003515031
0.5,invisible,20170707_01_02,3,20170707_01_02_03,0.6774295363375518,0.2846715328467153,0.5693430656934306,0.8043811003515031
0.5,invisible,20170707_03_04,1,20170707_03_04_01,-0.6781834137332288,0.806019398060194,0.806019398060194,0.8998028768551717
0.5,invisible,20170707_03_04,2,20170707_03_04_02,1.152152395242613,0.1662833716628337,0.3325667433256674,0.8043811003515031
0.5,invisible,20170707_03_04,3,20170707_03_04_03,2.5297990073251486,0.0068993100689931,0.020697930206979298,0.206979302069793
0.5,invisible,20170707_05_06,1,20170707_05_06_01,-0.6105732731164855,0.7576242375762424,1.0,0.8998028768551717
0.5,invisible,20170707_05_06,2,20170707_05_06_02,1.1682259357323503,0.1593840615938406,0.4781521847815218,0.8043811003515031
0.5,invisible,20170707_05_06,3,20170707_05_06_03,-1.505083316716278,0.9593040695930408,1.0,0.9593040695930408
0.5,invisible,20170707_07_08,1,20170707_07_08_01,1.926620747573895,0.0412958704129587,0.1238876112388761,0.6194380561943805
0.5,invisible,20170707_07_08,2,20170707_07_08_02,-0.1396789059324118,0.6199380061993801,1.0,0.8998028768551717
0.5,invisible,20170707_07_08,3,20170707_07_08_03,-0.6906273197581831,0.8194180581941806,1.0,0.8998028768551717
0.5,invisible,20170707_09_10,1,20170707_09_10_01,0.7808874180716944,0.2653734626537346,0.7961203879612039,0.8043811003515031
0.5,invisible,20170707_09_10,2,20170707_09_10_02,-0.6356940865679447,0.7991200879912009,0.7991200879912009,0.8998028768551717
0.5,invisible,20170707_09_10,3,20170707_09_10_03,0.536167185431889,0.3252674732526747,0.7961203879612039,0.8043811003515031
0.5,invisible,20170707_11_12,1,20170707_11_12_01,0.1519144312099677,0.4961503849615039,0.9923007699230078,0.8998028768551717
0.5,invisible,20170707_11_12,2,20170707_11_12_02,-0.6775982743282104,0.7985201479852014,0.9923007699230078,0.8998028768551717
0.5,invisible,20170707_11_12,3,20170707_11_12_03,0.6806921889769595,0.3060693930606939,0.9182081791820818,0.8043811003515031
0.5,invisible,20170710_13_14,1,20170710_13_14_01,-0.2554993890416656,0.6719328067193281,1.0,0.8998028768551717
0.5,invisible,20170710_13_14,2,20170710_13_14_02,0.0259774202440516,0.547045295470453,1.0,0.8998028768551717
0.5,invisible,20170710_13_14,3,20170710_13_14_03,1.5795444621937336,0.0813918608139186,0.2441755824417558,0.7371762823717628
0.5,invisible,20170710_15_16,1,20170710_15_16_01,0.084831085987814,0.5367463253674633,1.0,0.8998028768551717
0.5,invisible,20170710_15_16,2,20170710_15_16_02,-0.8009068721708398,0.8381161883811619,1.0,0.8998028768551717
0.5,invisible,20170710_15_16,3,20170710_15_16_03,-0.0598657689072967,0.577042295770423,1.0,0.8998028768551717
0.5,visible,20170706_01_02,1,20170706_01_02_01,-0.6367161544878723,0.812018798120188,1.0,0.9125087491250876
0.5,visible,20170706_01_02,2,20170706_01_02_02,0.8505382287419322,0.2605739426057394,0.7817218278172182,0.7422114931364006
0.5,visible,20170706_01_02,3,20170706_01_02_03,-0.6109904004764285,0.7716228377162284,1.0,0.9125087491250876
0.5,visible,20170706_03_04,1,20170706_03_04_01,0.5131829931653255,0.3463653634636536,0.6927307269273072,0.7422114931364006
0.5,visible,20170706_03_04,2,20170706_03_04_02,1.0016463365986723,0.1857814218578142,0.5573442655734426,0.7422114931364006
0.5,visible,20170706_03_04,3,20170706_03_04_03,-0.212985013403005,0.6271372862713729,0.6927307269273072,0.8975352464753525
0.5,visible,20170706_05_06,1,20170706_05_06_01,0.5816561718180172,0.3360663933606639,1.0,0.7422114931364006
0.5,visible,20170706_05_06,2,20170706_05_06_02,-0.3257741968703466,0.6911308869113089,1.0,0.8975352464753525
0.5,visible,20170706_05_06,3,20170706_05_06_03,-0.972364992299792,0.8824117588241176,1.0,0.9125087491250876
0.5,visible,20170706_11_12,1,20170706_11_12_01,1.7172791044345077,0.0621937806219378,0.1243875612438756,0.7422114931364006
0.5,visible,20170706_11_12,2,20170706_11_12_02,2.651483915982457,0.0077992200779922,0.023397660233976603,0.233976602339766
0.5,visible,20170706_11_12,3,20170706_11_12_03,-0.7322975626857511,0.8229177082291771,0.8229177082291771,0.9125087491250876
0.5,visible,20170710_01_02,1,20170710_01_02_01,0.912676016153217,0.2152784721527847,0.4305569443055694,0.7422114931364006
0.5,visible,20170710_01_02,2,20170710_01_02_02,1.4698328495812334,0.1052894710528947,0.3158684131586841,0.7422114931364006
0.5,visible,20170710_01_02,3,20170710_01_02_03,-0.4955271548495893,0.718028197180282,0.718028197180282,0.8975352464753525
