pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,jitter,0.2,61.0,0.3935483870967742,0.3877470967741936,0.0327163643359519,0.1773207518723452,0.472952704729527,0.6081391860813918
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,jitter,0.5,61.0,0.3935483870967742,0.3620877419354839,0.0307053318684821,1.0245987666260483,0.1795820417958204,0.8699130086991301
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,isi,,61.0,0.3935483870967742,0.3876574193548387,0.0374901028202086,0.1571339446623236,0.4698530146985301,0.5932406759324068
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,circ,,61.0,0.3935483870967742,0.3907987096774193,0.0388792978243429,0.0707234331180029,0.4940505949405059,0.571942805719428
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,jitter,0.35,9.0,0.4090909090909091,0.3893727272727273,0.0762160195232265,0.2587144007458007,0.5243475652434757,0.706029397060294
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,jitter,0.2,9.0,0.4090909090909091,0.3961363636363637,0.0748586301883942,0.1730534665401057,0.5620437956204379,0.680931906809319
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,jitter,0.5,9.0,0.4090909090909091,0.3726590909090909,0.0789130595712696,0.4616703290906516,0.4344565543445655,0.7716228377162284
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,isi,,9.0,0.4090909090909091,0.4106272727272728,0.0724128337664036,-0.0212167312954471,0.6351364863513649,0.6109389061093891
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,circ,,9.0,0.4090909090909091,0.3943727272727273,0.0817383060568983,0.1800646787069018,0.508049195080492,0.6943305669433056
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,jitter,0.35,28.0,0.4210526315789473,0.4485518796992481,0.0471138593019244,-0.5836764070647364,0.773922607739226,0.3345665433456654
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,jitter,0.2,28.0,0.4210526315789473,0.4582436090225564,0.0480608260991272,-0.7738314228494797,0.8281171882811719,0.2633736626337366
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,jitter,0.5,28.0,0.4210526315789473,0.4167714285714285,0.0469785167634907,0.0911310808102387,0.5306469353064693,0.593940605939406
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,isi,,28.0,0.4210526315789473,0.4872992481203008,0.0557735146552514,-1.1877791268999012,0.906009399060094,0.1445855414458554
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,circ,,28.0,0.4210526315789473,0.495172932330827,0.058316524144113,-1.2709999753879702,0.9262073792620736,0.1168883111688831
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,jitter,0.35,66.0,0.4203821656050955,0.3872509554140128,0.0298145977730513,1.1112412263038889,0.1598840115988401,0.8903109689031097
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,jitter,0.2,66.0,0.4203821656050955,0.4043025477707007,0.0304991755276905,0.5272148363419209,0.3375662433756624,0.7338266173382662
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,jitter,0.5,66.0,0.4203821656050955,0.36528025477707,0.0294681784760661,1.8698784138551,0.0375962403759624,0.977002299770023
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,isi,,66.0,0.4203821656050955,0.4120439490445859,0.0380960597714572,0.2188734638314705,0.4480551944805519,0.6179382061793821
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,circ,,66.0,0.4203821656050955,0.4042509554140127,0.0410163804372495,0.3932870238455528,0.3742625737426257,0.6831316868313169
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,jitter,0.35,14.0,0.4666666666666667,0.45381,0.0721018060363957,0.1783126855404537,0.5258474152584741,0.6618338166183382
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,jitter,0.2,14.0,0.4666666666666667,0.4510366666666667,0.0735626703489555,0.2124718954036976,0.5109489051094891,0.67003299670033
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,jitter,0.5,14.0,0.4666666666666667,0.4488933333333333,0.0700106253355667,0.2538662274211128,0.4941505849415059,0.6872312768723128
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,isi,,14.0,0.4666666666666667,0.51791,0.086213415157231,-0.5943777223054979,0.7796220377962204,0.3394660533946605
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,circ,,14.0,0.4666666666666667,0.52679,0.0783618314253125,-0.7672527841649219,0.815018498150185,0.2541745825417458
