pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170710_01_02_02,visible,0.2,P3,60.0,180.0,117.5,180,159,1,isi,,126.0,0.7433628318584071,0.6699215339233038,0.023631784928094177,3.107733849075197,0.0014998500149985001,0.9996000399960004
20170710_01_02_02,visible,0.2,P3,60.0,180.0,117.5,180,159,1,circ,,126.0,0.7433628318584071,0.6632466076696165,0.024221241218138692,3.307684501684147,0.0007999200079992001,0.9993000699930007
20170710_01_02_03,visible,0.2,P1,0.0,20.0,14.8,24,22,1,jitter,0.35,17.0,0.7391304347826086,0.6713695652173913,0.055942572909749445,1.2112576529959391,0.20837916208379162,0.9573042695730427
20170710_01_02_03,visible,0.2,P1,0.0,20.0,14.8,24,22,1,jitter,0.5,17.0,0.7391304347826086,0.6282521739130434,0.06392481597601227,1.7345104428798384,0.0756924307569243,0.9869013098690131
20170710_01_02_03,visible,0.2,P1,0.0,20.0,14.8,24,22,1,isi,,17.0,0.7391304347826086,0.7190608695652174,0.05640948333202735,0.35578353198630386,0.5083491650834917,0.785021497850215
20170710_01_02_03,visible,0.2,P1,0.0,20.0,14.8,24,22,1,circ,,17.0,0.7391304347826086,0.7251695652173912,0.06456507556024757,0.2162294312223049,0.6005399460053995,0.6722327767223277
20170710_01_02_03,visible,0.2,P2,20.0,60.0,40.0,69,54,1,jitter,0.35,45.0,0.7317073170731707,0.6567869918699187,0.032409647116893675,2.3116674159713213,0.013898610138986101,0.9972002799720028
20170710_01_02_03,visible,0.2,P2,20.0,60.0,40.0,69,54,1,jitter,0.5,45.0,0.7317073170731707,0.6092536585365854,0.03619097480262123,3.383541316707398,0.0006999300069993001,0.9999000099990001
20170710_01_02_03,visible,0.2,P2,20.0,60.0,40.0,69,54,1,isi,,45.0,0.7317073170731707,0.7011235772357723,0.0318736493583181,0.9595305355085391,0.23877612238776122,0.8915108489151085
20170710_01_02_03,visible,0.2,P2,20.0,60.0,40.0,69,54,1,circ,,45.0,0.7317073170731707,0.6835186991869918,0.03905910402242446,1.2337358752139587,0.1543845615438456,0.9303069693030697
20170710_01_02_03,visible,0.2,P3,60.0,180.0,119.5,198,172,1,jitter,0.35,136.0,0.7351351351351352,0.6361897297297296,0.021391411000184567,4.625473532557147,9.999000099990002e-05,1.0
20170710_01_02_03,visible,0.2,P3,60.0,180.0,119.5,198,172,1,jitter,0.5,136.0,0.7351351351351352,0.5882567567567568,0.022790641423896214,6.44467944743209,9.999000099990002e-05,1.0
20170710_01_02_03,visible,0.2,P3,60.0,180.0,119.5,198,172,1,isi,,136.0,0.7351351351351352,0.7105027027027027,0.02102630729429693,1.1715053950112149,0.14628537146285372,0.9036096390360964
20170710_01_02_03,visible,0.2,P3,60.0,180.0,119.5,198,172,1,circ,,136.0,0.7351351351351352,0.7091081081081082,0.021409461637504006,1.2156787250284775,0.1396860313968603,0.9121087891210878
20170710_07_08_01,visible,0.2,P1,0.0,20.0,0.6000000000000014,2,0,0,none,,,,,,,,
20170710_07_08_01,visible,0.2,P2,20.0,60.0,40.0,39,42,1,jitter,0.35,18.0,0.4444444444444444,0.39501481481481476,0.04681377203340341,1.055877949641822,0.2126787321267873,0.9103089691030897
20170710_07_08_01,visible,0.2,P2,20.0,60.0,40.0,39,42,1,jitter,0.5,18.0,0.4444444444444444,0.3693975308641975,0.048137559600327964,1.559009517793162,0.09249075092490751,0.97000299970003
20170710_07_08_01,visible,0.2,P2,20.0,60.0,40.0,39,42,1,isi,,18.0,0.4444444444444444,0.4462148148148148,0.05581705336028174,-0.03171737423943138,0.5955404459554045,0.5774422557744225
20170710_07_08_01,visible,0.2,P2,20.0,60.0,40.0,39,42,1,circ,,18.0,0.4444444444444444,0.48206172839506173,0.06219126291432029,-0.604864448603366,0.7794220577942206,0.36476352364763526
20170710_07_08_01,visible,0.2,P3,60.0,180.0,110.69999999999999,77,79,1,jitter,0.35,27.0,0.34615384615384615,0.32669871794871796,0.03329032730357383,0.5844078379800011,0.34926507349265073,0.7789221077892211
20170710_07_08_01,visible,0.2,P3,60.0,180.0,110.69999999999999,77,79,1,jitter,0.5,27.0,0.34615384615384615,0.3106346153846154,0.03455492394492675,1.0279064953475487,0.19638036196380362,0.8916108389161084
20170710_07_08_01,visible,0.2,P3,60.0,180.0,110.69999999999999,77,79,1,isi,,27.0,0.34615384615384615,0.3433423076923077,0.042258117729451115,0.06653250576702721,0.5336466353364664,0.587941205879412
20170710_07_08_01,visible,0.2,P3,60.0,180.0,110.69999999999999,77,79,1,circ,,27.0,0.34615384615384615,0.33723205128205125,0.04735611375857818,0.18839795252790958,0.49455054494550543,0.6164383561643836
20170710_07_08_02,visible,0.2,P1,0.0,20.0,13.7,21,16,1,jitter,0.35,9.0,0.4864864864864865,0.5006756756756756,0.06672438485512619,-0.21265372801858054,0.7335266473352665,0.5780421957804219
20170710_07_08_02,visible,0.2,P1,0.0,20.0,13.7,21,16,1,jitter,0.5,9.0,0.4864864864864865,0.4918216216216217,0.07505052761296681,-0.07108724355208126,0.6702329767023297,0.6100389961003899
20170710_07_08_02,visible,0.2,P1,0.0,20.0,13.7,21,16,1,isi,,9.0,0.4864864864864865,0.5126756756756756,0.06937316044868604,-0.37751183627507845,0.7858214178582141,0.49695030496950304
20170710_07_08_02,visible,0.2,P1,0.0,20.0,13.7,21,16,1,circ,,9.0,0.4864864864864865,0.5750972972972973,0.0714694012594538,-1.2398426354395906,0.9306069393060694,0.17298270172982702
20170710_07_08_02,visible,0.2,P2,20.0,60.0,40.0,29,38,1,jitter,0.35,11.0,0.3283582089552239,0.27627164179104474,0.048605312274464275,1.0716229302273985,0.22517748225177484,0.9223077692230777
20170710_07_08_02,visible,0.2,P2,20.0,60.0,40.0,29,38,1,jitter,0.5,11.0,0.3283582089552239,0.24124477611940298,0.05150203487819238,1.6914561345362984,0.07799220077992201,0.9789021097890211
20170710_07_08_02,visible,0.2,P2,20.0,60.0,40.0,29,38,1,isi,,11.0,0.3283582089552239,0.37872835820895523,0.08267658943428406,-0.6092431920376726,0.7789221077892211,0.33696630336966304
20170710_07_08_02,visible,0.2,P2,20.0,60.0,40.0,29,38,1,circ,,11.0,0.3283582089552239,0.3962388059701492,0.08285663016529163,-0.8192536539261801,0.8201179882011799,0.2792720727927207
20170710_07_08_02,visible,0.2,P3,60.0,180.0,36.0,41,34,1,jitter,0.35,23.0,0.6133333333333333,0.510184,0.05174074763286352,1.9935802641517544,0.037196280371962806,0.9924007599240076
20170710_07_08_02,visible,0.2,P3,60.0,180.0,36.0,41,34,1,jitter,0.5,23.0,0.6133333333333333,0.46767200000000003,0.051426931984883,2.8323939949626116,0.0035996400359964,0.9996000399960004
20170710_07_08_02,visible,0.2,P3,60.0,180.0,36.0,41,34,1,isi,,23.0,0.6133333333333333,0.48163999999999996,0.06098708522858499,2.159364279170501,0.0268973102689731,0.9918008199180082
20170710_07_08_02,visible,0.2,P3,60.0,180.0,36.0,41,34,1,circ,,23.0,0.6133333333333333,0.490624,0.07172094465551271,1.7109274553301834,0.062193780621937804,0.968003199680032
20170710_07_08_03,visible,0.2,P1,0.0,20.0,10.0,15,14,1,jitter,0.35,8.0,0.5517241379310345,0.5864620689655172,0.08090816103882019,-0.429350149459154,0.8093190680931907,0.49525047495250474
20170710_07_08_03,visible,0.2,P1,0.0,20.0,10.0,15,14,1,jitter,0.5,8.0,0.5517241379310345,0.5630620689655172,0.08960055190672701,-0.12653862943037905,0.6988301169883012,0.5967403259674032
20170710_07_08_03,visible,0.2,P1,0.0,20.0,10.0,15,14,1,isi,,8.0,0.5517241379310345,0.5889724137931034,0.08068461118588713,-0.4616527899756944,0.81991800819918,0.47455254474552544
20170710_07_08_03,visible,0.2,P1,0.0,20.0,10.0,15,14,1,circ,,8.0,0.5517241379310345,0.6602758620689656,0.08566945041282009,-1.267099574175473,0.9908009199080092,0.22907709229077092
20170710_07_08_03,visible,0.2,P2,20.0,60.0,40.0,49,44,1,jitter,0.35,26.0,0.5591397849462365,0.46204731182795694,0.04387306109129638,2.213031657769167,0.020497950204979503,0.9948005199480052
20170710_07_08_03,visible,0.2,P2,20.0,60.0,40.0,49,44,1,jitter,0.5,26.0,0.5591397849462365,0.4199741935483871,0.045632061405691815,3.049732734197515,0.0020997900209979003,0.9996000399960004
20170710_07_08_03,visible,0.2,P2,20.0,60.0,40.0,49,44,1,isi,,26.0,0.5591397849462365,0.5449376344086021,0.053406507938951304,0.2659254664968698,0.47485251474852513,0.6794320567943206
20170710_07_08_03,visible,0.2,P2,20.0,60.0,40.0,49,44,1,circ,,26.0,0.5591397849462365,0.5306064516129032,0.048524587891668296,0.5880180455532007,0.38606139386061394,0.793920607939206
20170710_07_08_03,visible,0.2,P3,60.0,180.0,76.69999999999999,73,76,1,jitter,0.35,35.0,0.4697986577181208,0.4374791946308725,0.034178797197612104,0.9455997793130738,0.2308769123087691,0.8741125887411259
20170710_07_08_03,visible,0.2,P3,60.0,180.0,76.69999999999999,73,76,1,jitter,0.5,35.0,0.4697986577181208,0.4210161073825504,0.03485448273426391,1.3996062058213936,0.10928907109289071,0.9502049795020497
20170710_07_08_03,visible,0.2,P3,60.0,180.0,76.69999999999999,73,76,1,isi,,35.0,0.4697986577181208,0.4529181208053691,0.05722917615908431,0.29496382869163784,0.42745725427457254,0.6615338466153384
20170710_07_08_03,visible,0.2,P3,60.0,180.0,76.69999999999999,73,76,1,circ,,35.0,0.4697986577181208,0.4556577181208054,0.05301996090329156,0.26670973264405956,0.47895210478952105,0.6223377662233777
20170714_01_02_01,visible,0.2,P1,0.0,20.0,15.0,26,21,1,jitter,0.35,16.0,0.6808510638297872,0.629668085106383,0.06688461868883001,0.7652428873299688,0.3284671532846715,0.8648135186481352
20170714_01_02_01,visible,0.2,P1,0.0,20.0,15.0,26,21,1,jitter,0.5,16.0,0.6808510638297872,0.5844936170212767,0.06781524463904179,1.4208817990908902,0.13088691130886912,0.9634036596340366
20170714_01_02_01,visible,0.2,P1,0.0,20.0,15.0,26,21,1,isi,,16.0,0.6808510638297872,0.6477063829787234,0.06075455271519737,0.5455505697891984,0.44255574442555745,0.815918408159184
20170714_01_02_01,visible,0.2,P1,0.0,20.0,15.0,26,21,1,circ,,16.0,0.6808510638297872,0.6878765957446809,0.06527272974942286,-0.10763349321936018,0.6806319368063194,0.5554444555544445
20170714_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,63,1,jitter,0.35,45.0,0.7317073170731707,0.6338878048780487,0.04117414927838783,2.375750656892554,0.010998900109989001,0.997000299970003
20170714_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,63,1,jitter,0.5,45.0,0.7317073170731707,0.5858520325203251,0.04144477711389744,3.519268161390033,0.00019998000199980003,0.9999000099990001
20170714_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,63,1,isi,,45.0,0.7317073170731707,0.7284471544715446,0.04054790850878218,0.08040273152239115,0.55994400559944,0.6025397460253975
20170714_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,63,1,circ,,45.0,0.7317073170731707,0.7272910569105692,0.04196413581317541,0.10523891597012187,0.5355464453554645,0.6346365363463654
20170714_01_02_01,visible,0.2,P3,60.0,180.0,119.1,165,177,1,jitter,0.35,115.0,0.672514619883041,0.6021356725146199,0.024516909416276926,2.870628845318329,0.0016998300169983002,0.9991000899910009
20170714_01_02_01,visible,0.2,P3,60.0,180.0,119.1,165,177,1,jitter,0.5,115.0,0.672514619883041,0.5677076023391813,0.02579024340531764,4.063824287996046,9.999000099990002e-05,1.0
20170714_01_02_01,visible,0.2,P3,60.0,180.0,119.1,165,177,1,isi,,115.0,0.672514619883041,0.6791508771929824,0.025046493019364718,-0.26495754534619326,0.6555344465553444,0.4363563643635636
20170714_01_02_01,visible,0.2,P3,60.0,180.0,119.1,165,177,1,circ,,115.0,0.672514619883041,0.6787116959064328,0.025567695147339253,-0.24237914241701689,0.6479352064793521,0.43345665433456654
20170714_01_02_02,visible,0.2,P1,0.0,20.0,13.9,23,24,1,jitter,0.35,18.0,0.7659574468085106,0.648272340425532,0.05928578604925135,1.9850475843436133,0.042495750424957505,0.9969003099690031
