a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170705_01_02_01,20170710_13_14_01,0,invisible,0.1,P1,0.0,20.0,20.0,29,32,14,0.45901639344262296,0.06771554898449673,0.525047495250475,0.5764423557644236,1
20170705_01_02_01,20170710_13_14_01,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,54,26,0.4727272727272727,0.7374777754870181,0.2873712628737126,0.7856214378562144,1
20170705_01_02_01,20170710_13_14_01,0,invisible,0.1,P3,60.0,180.0,109.6,125,156,45,0.3202846975088968,-1.5952367426206757,0.953004699530047,0.0673932606739326,1
20170705_01_02_02,20170705_03_04_01,0,invisible,0.1,P1,0.0,20.0,20.0,26,26,8,0.3076923076923077,-1.0083673772184916,0.9032096790320968,0.21827817218278173,1
20170705_01_02_02,20170705_03_04_01,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,60,23,0.4,-0.4694450814765358,0.7523247675232477,0.33166683331666835,1
20170705_01_02_02,20170705_03_04_01,0,invisible,0.1,P3,60.0,180.0,113.0,143,145,66,0.4583333333333333,1.753329489524958,0.0408959104089591,0.9701029897010299,1
20170705_01_02_02,20170705_03_04_02,0,invisible,0.1,P1,0.0,20.0,20.0,26,31,14,0.49122807017543857,0.6995313010492878,0.3093690630936906,0.7936206379362064,1
20170705_01_02_02,20170705_03_04_02,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,52,21,0.3925233644859813,-0.06384678724833753,0.5607439256074392,0.521947805219478,1
20170705_01_02_02,20170705_03_04_02,0,invisible,0.1,P3,60.0,180.0,113.0,143,162,63,0.4131147540983607,0.2880610611313906,0.40815918408159185,0.6498350164983502,1
20170705_01_02_02,20170707_01_02_01,0,invisible,0.1,P1,0.0,20.0,20.0,26,32,15,0.5172413793103449,1.1685341376745353,0.1942805719428057,0.9224077592240776,1
20170705_01_02_02,20170707_01_02_01,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,60,20,0.34782608695652173,-1.109452088101564,0.8888111188881112,0.16128387161283872,1
20170705_01_02_02,20170707_01_02_01,0,invisible,0.1,P3,60.0,180.0,112.9,142,149,49,0.33676975945017185,-1.1368568622539734,0.8888111188881112,0.14378562143785623,1
20170705_01_02_02,20170707_01_02_02,0,invisible,0.1,P1,0.0,20.0,20.0,26,25,10,0.39215686274509803,0.24081911291054514,0.47795220477952205,0.6625337466253375,1
20170705_01_02_02,20170707_01_02_02,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,65,28,0.4666666666666667,0.3457210712581613,0.42445755424457554,0.6803319668033196,1
20170705_01_02_02,20170707_01_02_02,0,invisible,0.1,P3,60.0,180.0,112.9,142,166,67,0.43506493506493504,0.7858766989713456,0.24987501249875013,0.8054194580541946,1
20170705_01_02_02,20170707_03_04_01,0,invisible,0.1,P1,0.0,20.0,20.0,26,27,7,0.2641509433962264,-1.1903634843204638,0.9245075492450755,0.1474852514748525,1
20170705_01_02_02,20170707_03_04_01,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,50,25,0.47619047619047616,1.1964865053323832,0.13138686131386862,0.9012098790120988,1
20170705_01_02_02,20170707_03_04_01,0,invisible,0.1,P3,60.0,180.0,113.0,143,122,49,0.36981132075471695,0.45606003868234823,0.34736526347365265,0.7174282571742826,1
20170705_01_02_02,20170707_03_04_03,0,invisible,0.1,P1,0.0,20.0,20.0,26,25,11,0.43137254901960786,0.46144194847637626,0.3832616738326167,0.7438256174382561,1
20170705_01_02_02,20170707_03_04_03,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,52,22,0.411214953271028,0.13119034306811234,0.5086491350864913,0.6111388861113889,1
20170705_01_02_02,20170707_03_04_03,0,invisible,0.1,P3,60.0,180.0,112.9,142,129,60,0.44280442804428044,2.1095488657517754,0.027597240275972403,0.9821017898210179,1
20170705_01_02_02,20170707_07_08_01,0,invisible,0.1,P1,0.0,20.0,20.0,25,26,12,0.47058823529411764,1.0362925118055408,0.202979702029797,0.8905109489051095,1
20170705_01_02_02,20170707_07_08_01,0,invisible,0.1,P2,20.0,60.0,40.0,56,57,30,0.5309734513274337,1.641835175244861,0.05169483051694831,0.9716028397160283,1
20170705_01_02_02,20170707_07_08_01,0,invisible,0.1,P3,60.0,180.0,111.2,139,168,55,0.3583061889250814,-1.155850079797004,0.881011898810119,0.15478452154784522,1
20170705_01_02_02,20170707_09_10_02,0,invisible,0.1,P1,0.0,20.0,20.0,26,32,13,0.4482758620689655,0.24194309508495987,0.49725027497250274,0.6534346565343465,1
20170705_01_02_02,20170707_09_10_02,0,invisible,0.1,P2,20.0,60.0,39.99999999999999,55,54,18,0.3302752293577982,-1.04775722898338,0.8829117088291171,0.16628337166283372,1
20170705_01_02_02,20170707_09_10_02,0,invisible,0.1,P3,60.0,180.0,112.9,142,160,50,0.33112582781456956,-1.6341865754207852,0.952004799520048,0.06879312068793121,1
20170705_01_02_02,20170707_09_10_03,0,invisible,0.1,P1,0.0,20.0,20.0,26,32,15,0.5172413793103449,0.9884486512293805,0.22527747225277472,0.8912108789121088,1
