label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,p95_abs_dt,mean_dt_signed,median_dt_signed,offset_applied
20170707_03_04_02_A,invisible,0.3,269,223,198,0.8878923766816144,0.7360594795539034,0.8048780487804879,0.10000000000000853,0.3000000000000053,0.04090909090909082,0.09999999999999432,0.09999999999999432
20170707_03_04_02_A,invisible,0.5,269,223,217,0.9730941704035875,0.8066914498141264,0.8821138211382114,0.1999999999999993,0.5,0.05115207373271854,0.09999999999999432,0.09999999999999432
20170707_03_04_02_B,invisible,0.05,196,182,32,0.17582417582417584,0.16326530612244897,0.16931216931216933,0.0,0.0,0.0,0.0,-0.09999999999999432
20170707_03_04_02_B,invisible,0.1,196,182,86,0.4725274725274725,0.4387755102040816,0.455026455026455,0.09999999999999432,0.10000000000000853,-0.006976744186046951,0.0,-0.09999999999999432
20170707_03_04_02_B,invisible,0.15,196,182,86,0.4725274725274725,0.4387755102040816,0.455026455026455,0.09999999999999432,0.10000000000000853,-0.006976744186046951,0.0,-0.09999999999999432
20170707_03_04_02_B,invisible,0.2,196,182,126,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.10000000000000142,0.20000000000000284,0.0015873015873013208,0.0,-0.09999999999999432
20170707_03_04_02_B,invisible,0.3,196,182,151,0.8296703296703297,0.7704081632653061,0.798941798941799,0.10000000000000142,0.30000000000001137,0.0006622516556288544,0.0,-0.09999999999999432
20170707_03_04_02_B,invisible,0.5,196,182,166,0.9120879120879121,0.8469387755102041,0.8783068783068784,0.20000000000000018,0.5,-0.06024096385542182,-0.09999999999999432,-0.09999999999999432
20170707_11_12_01_A,invisible,0.05,248,236,39,0.1652542372881356,0.15725806451612903,0.16115702479338845,0.0,0.0,0.0,0.0,-0.09999999999999432
20170707_11_12_01_A,invisible,0.1,248,236,122,0.5169491525423728,0.49193548387096775,0.5041322314049587,0.09999999999999432,0.10000000000000853,-0.010655737704917814,0.0,-0.09999999999999432
20170707_11_12_01_A,invisible,0.15,248,236,122,0.5169491525423728,0.49193548387096775,0.5041322314049587,0.09999999999999432,0.10000000000000853,-0.010655737704917814,0.0,-0.09999999999999432
20170707_11_12_01_A,invisible,0.2,248,236,189,0.8008474576271186,0.7620967741935484,0.78099173553719,0.10000000000000142,0.20000000000000284,-0.03756613756613741,-0.09999999999999432,-0.09999999999999432
20170707_11_12_01_A,invisible,0.3,248,236,217,0.9194915254237288,0.875,0.8966942148760331,0.10000000000000853,0.3000000000000007,-0.06497695852534552,-0.09999999999999432,-0.09999999999999432
20170707_11_12_01_A,invisible,0.5,248,236,225,0.9533898305084746,0.907258064516129,0.9297520661157026,0.19999999999998863,0.5,-0.06133333333333316,-0.09999999999999432,-0.09999999999999432
20170707_11_12_01_B,invisible,0.05,244,213,27,0.1267605633802817,0.11065573770491803,0.11816192560175054,0.0,0.0,0.0,0.0,0.09999999999999432
20170707_11_12_01_B,invisible,0.1,244,213,97,0.45539906103286387,0.3975409836065574,0.424507658643326,0.09999999999999432,0.10000000000000853,0.016494845360824593,0.0,0.09999999999999432
20170707_11_12_01_B,invisible,0.15,244,213,97,0.45539906103286387,0.3975409836065574,0.424507658643326,0.09999999999999432,0.10000000000000853,0.016494845360824593,0.0,0.09999999999999432
20170707_11_12_01_B,invisible,0.2,244,213,151,0.7089201877934272,0.6188524590163934,0.660831509846827,0.10000000000000142,0.20000000000000284,0.023841059602648835,0.0,0.09999999999999432
20170707_11_12_01_B,invisible,0.3,244,213,192,0.9014084507042254,0.7868852459016393,0.8402625820568927,0.15000000000000568,0.30000000000001137,0.02552083333333334,0.09999999999999432,0.09999999999999432
20170707_11_12_01_B,invisible,0.5,244,213,204,0.9577464788732394,0.8360655737704918,0.8927789934354486,0.1999999999999993,0.5,0.06078431372549035,0.09999999999999432,0.09999999999999432
20170710_11_02,solo,0.05,201,127,15,0.11811023622047244,0.07462686567164178,0.09146341463414633,0.0,0.0,0.0,0.0,0.19999999999998863
20170710_11_02,solo,0.1,201,127,49,0.3858267716535433,0.24378109452736318,0.29878048780487804,0.09999999999999432,0.10000000000002274,0.0040816326530612465,0.0,0.19999999999998863
20170710_11_02,solo,0.15,201,127,49,0.3858267716535433,0.24378109452736318,0.29878048780487804,0.09999999999999432,0.10000000000002274,0.0040816326530612465,0.0,0.19999999999998863
