label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,offset_applied
20170705_03_04_02_A,invisible,0.15,271,288,148,0.5138888888888888,0.5461254612546126,0.5295169946332736,0.09999999999999432,-0.09999999999999432
20170705_03_04_02_A,invisible,0.2,271,288,232,0.8055555555555556,0.8560885608856088,0.8300536672629696,0.09999999999999432,-0.09999999999999432
20170705_03_04_02_A,invisible,0.3,271,288,252,0.875,0.9298892988929889,0.9016100178890877,0.10000000000000853,-0.09999999999999432
20170705_03_04_02_A,invisible,0.5,271,288,262,0.9097222222222222,0.966789667896679,0.9373881932021467,0.20000000000000284,-0.09999999999999432
20170707_01_02_03_A,invisible,0.05,257,283,60,0.21201413427561838,0.23346303501945526,0.22222222222222224,0.0,-0.1999999999999993
20170707_01_02_03_A,invisible,0.1,257,283,152,0.5371024734982333,0.5914396887159533,0.562962962962963,0.09999999999999432,-0.1999999999999993
20170707_01_02_03_A,invisible,0.15,257,283,152,0.5371024734982333,0.5914396887159533,0.562962962962963,0.09999999999999432,-0.1999999999999993
20170707_01_02_03_A,invisible,0.2,257,283,220,0.7773851590106007,0.8560311284046692,0.8148148148148148,0.09999999999999876,-0.1999999999999993
20170707_01_02_03_A,invisible,0.3,257,283,238,0.8409893992932862,0.9260700389105059,0.8814814814814815,0.10000000000000497,-0.1999999999999993
20170707_01_02_03_A,invisible,0.5,257,283,248,0.8763250883392226,0.9649805447470817,0.9185185185185185,0.20000000000001705,-0.1999999999999993
20170707_11_12_01_A,invisible,0.05,248,255,68,0.26666666666666666,0.27419354838709675,0.27037773359840955,0.0,-0.1999999999999993
20170707_11_12_01_A,invisible,0.1,248,255,150,0.5882352941176471,0.6048387096774194,0.5964214711729623,0.09999999999999432,-0.1999999999999993
20170707_11_12_01_A,invisible,0.15,248,255,150,0.5882352941176471,0.6048387096774194,0.5964214711729623,0.09999999999999432,-0.1999999999999993
20170707_11_12_01_A,invisible,0.2,248,255,219,0.8588235294117647,0.8830645161290323,0.8707753479125249,0.09999999999999787,-0.1999999999999993
20170707_11_12_01_A,invisible,0.3,248,255,234,0.9176470588235294,0.9435483870967742,0.930417495029821,0.10000000000000142,-0.1999999999999993
20170707_11_12_01_A,invisible,0.5,248,255,240,0.9411764705882353,0.967741935483871,0.9542743538767396,0.10000000000000853,-0.1999999999999993
20170710_13_14_03_A,invisible,0.05,250,252,56,0.2222222222222222,0.224,0.22310756972111553,0.0,0.0
20170710_13_14_03_A,invisible,0.1,250,252,148,0.5873015873015873,0.592,0.5896414342629482,0.09999999999999432,0.0
20170710_13_14_03_A,invisible,0.15,250,252,148,0.5873015873015873,0.592,0.5896414342629482,0.09999999999999432,0.0
20170710_13_14_03_A,invisible,0.2,250,252,203,0.8055555555555556,0.812,0.8087649402390439,0.09999999999999432,0.0
20170710_13_14_03_A,invisible,0.3,250,252,224,0.8888888888888888,0.896,0.8924302788844621,0.09999999999999964,0.0
