video,condition,period,delta,null,n_a,n_b,n_match,S,zS,p
20170706_05_06_02,visible,P2,0.2,continuous,59,51,37,0.6727272727272727,2.1489744085172724,0.01999000499750125
20170706_05_06_02,visible,P3,0.2,continuous,142,148,86,0.593103448275862,2.7373294272610433,0.0024987506246876563
20170706_05_06_02,visible,P1,0.2,grid,28,21,18,0.7346938775510204,0.18736697316683795,0.623688155922039
20170706_05_06_02,visible,P2,0.2,grid,59,51,37,0.6727272727272727,0.6353869931306847,0.3423288355822089
20170706_05_06_02,visible,P3,0.2,grid,142,148,86,0.593103448275862,-0.05697531528451263,0.5752123938030984
20170706_05_06_02,visible,P1,0.3,continuous,28,21,19,0.7755102040816326,0.39676526585381344,0.6361819090454772
20170706_05_06_02,visible,P2,0.3,continuous,59,51,41,0.7454545454545455,1.0718725903851856,0.1809095452273863
20170706_05_06_02,visible,P3,0.3,continuous,142,148,104,0.7172413793103448,1.411894641480823,0.10494752623688156
20170706_05_06_02,visible,P1,0.3,grid,28,21,19,0.7755102040816326,-0.10652980438447779,0.8030984507746127
20170706_05_06_02,visible,P2,0.3,grid,59,51,41,0.7454545454545455,0.24805329711753626,0.5097451274362819
20170706_05_06_02,visible,P3,0.3,grid,142,148,104,0.7172413793103448,-0.6915277382709396,0.7996001999000499
20170706_05_06_02,visible,P1,0.5,continuous,28,21,20,0.8163265306122449,0.5347520780716485,0.5312343828085957
20170706_05_06_02,visible,P2,0.5,continuous,59,51,42,0.7636363636363637,-0.11052864312644486,0.6611694152923538
20170706_05_06_02,visible,P3,0.5,continuous,142,148,114,0.7862068965517242,0.18243359219129937,0.5122438780609695
20170706_05_06_02,visible,P1,0.5,grid,28,21,20,0.8163265306122449,0.4377632985847825,0.5572213893053474
20170706_05_06_02,visible,P2,0.5,grid,59,51,42,0.7636363636363637,-0.38455911181997937,0.7776111944027986
20170706_05_06_02,visible,P3,0.5,grid,142,148,114,0.7862068965517242,-0.4543082838893507,0.744127936031984
20170706_05_06_02,visible,P1,1.0,continuous,28,21,20,0.8163265306122449,0.4567958331333434,0.551224387806097
20170706_05_06_02,visible,P2,1.0,continuous,59,51,42,0.7636363636363637,-0.46638447147768874,0.7881059470264867
20170706_05_06_02,visible,P3,1.0,continuous,142,148,115,0.7931034482758621,-0.6881901102117592,0.8070964517741129
20170706_05_06_02,visible,P1,1.0,grid,28,21,20,0.8163265306122449,0.39459556698626785,0.5652173913043478
20170706_05_06_02,visible,P2,1.0,grid,59,51,42,0.7636363636363637,-0.6192400799022946,0.8390804597701149
20170706_05_06_02,visible,P3,1.0,grid,142,148,115,0.7931034482758621,-1.1761791132296082,0.9225387306346826
20170706_05_06_03,visible,P1,0.1,continuous,25,20,7,0.3111111111111111,0.3746415740274393,0.391304347826087
20170706_05_06_03,visible,P2,0.1,continuous,59,46,22,0.41904761904761906,2.9765689756352463,0.0004997501249375312
20170706_05_06_03,visible,P3,0.1,continuous,152,147,56,0.3745819397993311,3.3775865167222756,0.0009995002498750624
20170706_05_06_03,visible,P1,0.1,grid,25,20,7,0.3111111111111111,-1.1065876969561241,0.9120439780109945
20170706_05_06_03,visible,P2,0.1,grid,59,46,22,0.41904761904761906,0.5109713624438098,0.3618190904547726
20170706_05_06_03,visible,P3,0.1,grid,152,147,56,0.3745819397993311,0.08224156193424069,0.5187406296851574
