video,condition,arm,rep,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_02,visible,jitter,1,P2,55,41,12,0.25,-1.3889677870242334,0.939060939060939
20170706_01_02_02,visible,jitter,1,P3,159,130,40,0.2768166089965398,-1.892510393183391,0.9690309690309691
20170706_01_02_02,visible,null,1,P1,22,17,6,0.3076923076923077,-0.6674021936384343,0.7962037962037962
20170706_01_02_02,visible,null,1,P2,56,38,14,0.2978723404255319,-0.26932289398997905,0.6513486513486514
20170706_01_02_02,visible,null,1,P3,157,135,42,0.2876712328767123,-1.531292350613084,0.948051948051948
20170706_01_02_02,visible,jitter,2,P1,24,20,9,0.4090909090909091,0.5280915553645985,0.3886113886113886
20170706_01_02_02,visible,jitter,2,P2,55,40,16,0.3368421052631579,0.5287725965283,0.36063936063936064
20170706_01_02_02,visible,jitter,2,P3,161,131,51,0.3493150684931507,0.513087388111162,0.3386613386613387
20170706_01_02_02,visible,null,2,P1,20,16,4,0.2222222222222222,-1.2636909204592535,0.9440559440559441
20170706_01_02_02,visible,null,2,P2,57,44,20,0.39603960396039606,0.7348210939649312,0.27472527472527475
20170706_01_02_02,visible,null,2,P3,159,132,50,0.3436426116838488,-0.1439153960339718,0.5984015984015985
20170706_01_02_02,visible,jitter,3,P1,25,20,9,0.4,0.10530106555830977,0.5404595404595405
20170706_01_02_02,visible,jitter,3,P2,55,40,24,0.5052631578947369,3.1752812775101664,0.000999000999000999
20170706_01_02_02,visible,jitter,3,P3,162,131,55,0.37542662116040953,1.3104049905386077,0.11588411588411589
20170706_01_02_02,visible,null,3,P1,21,15,5,0.2777777777777778,-0.29883890085717785,0.6703296703296703
20170706_01_02_02,visible,null,3,P2,57,44,12,0.2376237623762376,-2.032569803361603,0.991008991008991
20170706_01_02_02,visible,null,3,P3,160,131,57,0.3917525773195876,1.4639736880656835,0.08391608391608392
20170706_01_02_02,visible,jitter,4,P1,24,21,8,0.35555555555555557,-0.30873248961577743,0.6973026973026973
20170706_01_02_02,visible,jitter,4,P2,54,40,15,0.3191489361702128,-0.10394381710699668,0.6293706293706294
20170706_01_02_02,visible,jitter,4,P3,163,130,52,0.35494880546075086,0.5087141838394938,0.35264735264735264
20170706_01_02_02,visible,null,4,P1,19,15,6,0.35294117647058826,-0.049584178823429324,0.6553446553446554
20170706_01_02_02,visible,null,4,P2,56,41,20,0.41237113402061853,1.5350227849492641,0.08291708291708291
20170706_01_02_02,visible,null,4,P3,161,133,47,0.3197278911564626,-0.37040383048684106,0.6843156843156843
20170706_01_02_02,visible,jitter,5,P1,23,21,11,0.5,1.3080798331866736,0.19480519480519481
20170706_01_02_02,visible,jitter,5,P2,55,41,19,0.3958333333333333,1.281640220969315,0.12787212787212787
20170706_01_02_02,visible,jitter,5,P3,163,128,50,0.3436426116838488,0.20554550963154153,0.45054945054945056
20170706_01_02_02,visible,null,5,P1,21,17,5,0.2631578947368421,-0.9703008691926795,0.9140859140859141
20170706_01_02_02,visible,null,5,P2,57,42,13,0.26262626262626265,-1.5349693675966565,0.958041958041958
20170706_01_02_02,visible,null,5,P3,160,130,44,0.30344827586206896,-0.882264579339462,0.8501498501498501
20170706_01_02_02,visible,jitter,6,P1,23,20,9,0.4186046511627907,0.16834043901367932,0.5294705294705294
20170706_01_02_02,visible,jitter,6,P2,56,39,13,0.2736842105263158,-0.9258023412494096,0.8651348651348651
20170706_01_02_02,visible,jitter,6,P3,162,131,47,0.32081911262798635,-0.34596963540899767,0.6643356643356644
20170706_01_02_02,visible,null,6,P1,21,14,7,0.4,1.0407750702493852,0.24075924075924077
20170706_01_02_02,visible,null,6,P2,58,50,25,0.46296296296296297,1.7508307001376735,0.04895104895104895
20170706_01_02_02,visible,null,6,P3,161,125,49,0.34265734265734266,0.3650543095196611,0.3786213786213786
20170706_01_02_02,visible,jitter,7,P1,23,21,9,0.4090909090909091,-0.08832829053586867,0.6033966033966034
20170706_01_02_02,visible,jitter,7,P2,54,41,15,0.3157894736842105,-0.1680827250656414,0.6193806193806194
20170706_01_02_02,visible,jitter,7,P3,163,127,49,0.33793103448275863,0.49875028676814304,0.34765234765234765
20170706_01_02_02,visible,null,7,P1,24,15,7,0.358974358974359,0.17283445884079457,0.5504495504495505
20170706_01_02_02,visible,null,7,P2,56,50,16,0.3018867924528302,-0.9701899711880028,0.8411588411588412
20170706_01_02_02,visible,null,7,P3,161,126,46,0.3205574912891986,0.06502439284203633,0.5014985014985015
20170706_01_02_02,visible,jitter,8,P1,25,21,9,0.391304347826087,-0.08414007751172745,0.6493506493506493
20170706_01_02_02,visible,jitter,8,P2,56,40,19,0.3958333333333333,1.2044781215655411,0.13386613386613386
20170706_01_02_02,visible,jitter,8,P3,158,130,55,0.3819444444444444,1.2821141514029841,0.1038961038961039
20170706_01_02_02,visible,null,8,P1,21,17,5,0.2631578947368421,-1.2206999603339177,0.9470529470529471
20170706_01_02_02,visible,null,8,P2,57,45,23,0.45098039215686275,1.9455105558738643,0.03596403596403597
20170706_01_02_02,visible,null,8,P3,159,123,39,0.2765957446808511,-1.232339207427266,0.9070929070929071
20170706_01_02_02,visible,jitter,9,P1,24,21,12,0.5333333333333333,1.8413167348986026,0.07292707292707293
20170706_01_02_02,visible,jitter,9,P2,56,41,18,0.3711340206185567,0.5487155738842924,0.35064935064935066
20170706_01_02_02,visible,jitter,9,P3,161,128,39,0.2698961937716263,-2.003031627947945,0.987012987012987
20170706_01_02_02,visible,null,9,P1,20,17,7,0.3783783783783784,0.31582760833596235,0.46353646353646355
20170706_01_02_02,visible,null,9,P2,54,42,16,0.3333333333333333,0.13637523171309204,0.5254745254745254
20170706_01_02_02,visible,null,9,P3,159,130,48,0.33217993079584773,-0.19715283432055525,0.6393606393606394
20170706_01_02_02,visible,jitter,10,P1,24,21,8,0.35555555555555557,-0.10666612613462169,0.6213786213786214
20170706_01_02_02,visible,jitter,10,P2,53,40,16,0.34408602150537637,0.372212287458526,0.43956043956043955
20170706_01_02_02,visible,jitter,10,P3,161,131,48,0.3287671232876712,-0.24248300644856166,0.6393606393606394
20170706_01_02_02,visible,null,10,P1,23,21,10,0.45454545454545453,0.8105795936091332,0.34765234765234765
20170706_01_02_02,visible,null,10,P2,55,41,21,0.4375,1.9280971487537184,0.04195804195804196
20170706_01_02_02,visible,null,10,P3,156,126,44,0.3120567375886525,-1.013646805507267,0.8701298701298701
20170706_01_02_03,visible,real,0,P1,22,18,3,0.15,-2.065409775570787,1.0
20170706_01_02_03,visible,real,0,P2,60,42,22,0.43137254901960786,0.932849966089644,0.21578421578421578
